zipCode,Total_Relief_Funds
70122,140935813.78
70117,140818009.29
70726,117176475.72
70126,115539231.82
33908,110601147.29
70072,91863061.42
77662,90905500.11
70043,82323044.85
70119,79399889.46
70065,79369165.71
96799,76775788.68
70127,76191586.84
33931,74688055.02
39520,70104292.47
77642,68823985.16
77632,68565649.18
77630,67222563.23
70814,67214361.38
70363,66847067.29
70068,65120388.22
77539,65089678.83
70124,64741269.15
70003,63877200.45
70128,63498053.54
70461,61011910.80
70458,60633820.60
11414,60274676.60
70118,59228948.95
10306,57400620.66
70058,56429650.58
96929,55892352.66
00729,55886222.12
60804,55808042.87
00767,54757717.43
11561,52167728.58
96950,51720865.67
77640,51092232.68
70094,50987347.16
33917,50782309.30
58701,49559061.60
00791,47782900.66
11236,47656975.04
00949,47443317.85
77705,46610430.59
70816,46559148.23
70115,46463252.13
11235,46339334.04
48126,46062074.04
48228,45123819.01
77450,45057151.13
70056,44096400.21
77044,43791835.29
11572,43672237.37
00725,43193650.84
60628,42161069.21
70001,42156158.99
39564,42062607.62
70092,41967407.59
11694,41618491.15
70301,41585932.06
70460,40542641.86
70607,40357061.86
48224,39804656.46
39571,39696314.47
00719,39566636.59
70601,39324374.97
33708,39011535.37
48227,38937225.04
33706,38826378.28
77084,38768265.10
70131,38704862.99
00612,38461022.14
00720,38379245.63
00794,37648889.86
34652,37633371.33
77611,37533906.15
70125,37228986.99
70085,36916570.75
70129,36647365.06
11758,36518818.39
34667,36333659.13
60651,36041250.55
00693,35481342.60
37221,35473172.49
00783,35061253.56
00687,34441849.24
70605,34386162.22
60619,34177458.35
39532,34097872.44
00953,34074863.45
00784,34068036.75
34224,34029322.50
70454,33768431.67
70364,33761716.93
33703,33668068.44
33903,33481196.44
70005,33457307.34
48205,33435314.47
34266,33303946.39
00795,33210015.30
